train_dataset,test_dataset,train_feature_type,test_feature_type,model_name,layer_idx,probe_type,regularization,use_scaler,balance_groups,is_cv_result,avg_max_acc,std_max_acc,avg_auroc,std_auroc,avg_auprc,std_auprc,avg_avg_abs_score,std_avg_abs_score,fold_1_max_acc,fold_1_auroc,fold_1_auprc,fold_1_avg_abs_score,fold_2_max_acc,fold_2_auroc,fold_2_auprc,fold_2_avg_abs_score,fold_3_max_acc,fold_3_auroc,fold_3_auprc,fold_3_avg_abs_score,fold_4_max_acc,fold_4_auroc,fold_4_auprc,fold_4_avg_abs_score,fold_5_max_acc,fold_5_auroc,fold_5_auprc,fold_5_avg_abs_score
claims__definitional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,True,0.9603871928518242,0.01173293100398539,0.9892289725391734,0.004009986129342418,0.9891330620014959,0.003966228802829014,12.298115725354304,0.629994580139439,0.9411764705882353,0.9825494786124708,0.982601961094336,11.693636627476794,0.9578059071729957,0.9876720183486237,0.9866597744028491,12.89116402560426,0.9704641350210971,0.9938672438672439,0.9927928290338675,11.871335138742893,0.9746835443037974,0.992667145938174,0.9928556203038955,13.220502410775351,0.9578059071729957,0.9893889759293548,0.9907551251725312,11.813940424172218
claims__evidential_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,True,0.951028562971733,0.010732052817135134,0.9899987744815035,0.0027091985474699096,0.9904838086547045,0.0026890270994845687,11.537702371378993,0.280053477710225,0.9613733905579399,0.9936634246979075,0.9939886140901104,11.373956301502746,0.9399141630901288,0.9860742705570291,0.987407326545158,11.561449855154775,0.9399141630901288,0.9893883566691231,0.989609930232642,12.018914043913867,0.9656652360515021,0.9923201890415005,0.9933087974961083,11.560738765731811,0.9482758620689655,0.9885476314419573,0.9881043749095041,11.173452890591758
claims__fictional_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,True,0.9183333333333333,0.010736748938937606,0.9673044056621339,0.005687341556766665,0.9710423304560012,0.006333963159606025,9.69111413384427,0.38537201881114463,0.9166666666666666,0.9648,0.9667232660341637,9.456479624868761,0.9166666666666666,0.9658814536863317,0.9686906155323792,9.225293981149795,0.9041666666666667,0.9599194220616839,0.9632351397004766,9.76035556567329,0.9166666666666666,0.9687826632290433,0.9759734453456499,9.641681880759212,0.9375,0.9771384893336112,0.9805891856673364,10.371759616770298
claims__logical_gemini_600_full,claims__logical_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,True,0.8617391304347827,0.015891884245649617,0.924903249437367,0.011267572557405873,0.9327931288249791,0.008493961225163925,9.483838880195368,0.8126221562237841,0.8695652173913043,0.9373714285714285,0.9248832023460671,8.954122077648643,0.8304347826086956,0.9082575757575757,0.9213166774087492,8.827914498942313,0.8695652173913043,0.936936936936937,0.9426076240428115,11.032196713517893,0.8739130434782608,0.9246212121212122,0.9410666357248183,9.049751950825508,0.8652173913043478,0.9173290937996821,0.9340915046024495,9.55520916004248
got__best,got__best,last,last,olmo3-7b,18,lr,1.0,True,False,True,0.9838892365618648,0.0027542203553678093,0.9967884418021926,0.0014144311443380078,0.9965273387036989,0.0017689810918441742,14.648588316398385,0.35375058114152386,0.9856218547807333,0.9991399983461506,0.9991705267560058,14.743397992620574,0.9841840402588066,0.9965060265872769,0.9968826622815048,15.007654030518783,0.9877697841726619,0.9967899332306112,0.997217065717441,14.02586473332023,0.9820143884892086,0.9968137239678764,0.9954758406946353,14.940064084470302,0.9798561151079137,0.9946925268790484,0.9938905980689079,14.525960741062038
sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,last,last,olmo3-7b,18,lr,1.0,True,False,True,0.9292354434971883,0.013334082809083079,0.9681743178047674,0.00629041885868305,0.9717757638562455,0.007559650227154326,7.988537575004318,0.3388689737877373,0.9161073825503355,0.9590108553668754,0.9665624443431164,7.9297643870396195,0.9496644295302014,0.9754965992522859,0.9807805208566818,8.119282808715294,0.9391891891891891,0.9737490869247627,0.9794351907482746,8.272992317777371,0.9155405405405406,0.9629747991234477,0.9608904265816761,8.262639211859538,0.9256756756756757,0.9696402483564646,0.9712102367514782,7.358009149629772
claims__evidential_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,False,0.9317032040472174,0.004364984521262985,0.9706878165443383,0.0005751865870738496,0.9781331807590401,0.0009393425123564006,11.318199157714844,0.41158470956356386,0.9266441821247892,0.9697539307661902,0.9764990729327022,11.04819107055664,0.9325463743676222,0.9710393033962843,0.9785307654409322,12.081231117248535,0.93929173693086,0.9713919277461333,0.9791565545538002,11.386521339416504,0.9283305227655987,0.9709056473927126,0.9787464257230203,11.15931510925293,0.9317032040472175,0.9703482734203709,0.977733085144746,10.91573715209961
claims__fictional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,False,0.9278246205733558,0.007146583507729188,0.9762956812048378,0.004038490668837553,0.9791855145258385,0.002619806782558678,11.63538417816162,0.5196978385098828,0.9350758853288365,0.9778472283441727,0.980012318624393,11.359476089477539,0.9317032040472175,0.9791411322085375,0.9811144130436961,12.20512580871582,0.9224283305227656,0.9764964495846712,0.979577629943284,11.878983497619629,0.9333895446880269,0.9794937565583863,0.9811332918728825,10.75595474243164,0.9165261382799326,0.9684998393284212,0.9740899191449368,11.977380752563477
claims__logical_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,False,0.8920741989881955,0.010652014635651777,0.9486158072396054,0.009928587808815118,0.9530672520405525,0.008235943042497655,10.658161926269532,0.6945162926844128,0.8870151770657673,0.9535701793549818,0.9517317546074897,11.145539283752441,0.8979763912310287,0.9479424084811844,0.9532793981590794,10.368210792541504,0.9055649241146712,0.9588367946446598,0.9624112316340596,11.596803665161133,0.8954468802698144,0.9527284309069556,0.9593546758842201,10.621062278747559,0.8743676222596964,0.9300012228102454,0.9385591999179136,9.55919361114502
got__best,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,False,0.811635750421585,0.009696092081932586,0.8754485296417733,0.008528972549069664,0.8791598945210423,0.0071893679342963455,15.40113353729248,1.1214307924723184,0.8187183811129848,0.8786318175225865,0.8805151583531171,15.827553749084473,0.7925801011804384,0.8618878483942796,0.8657713160024185,13.70909309387207,0.815345699831366,0.879229003921524,0.8862433185939641,14.714669227600098,0.8136593591905565,0.8705726448816861,0.8789036609130576,15.718901634216309,0.8178752107925801,0.8869213334887913,0.8843660187426537,17.035449981689453
sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,False,0.7300168634064081,0.022060790504570715,0.7831746997716473,0.02633784077008604,0.7957758166603061,0.026970628914537484,7.106784534454346,2.5447591987067453,0.7259696458684655,0.7855190829491909,0.7906421659953855,6.517495155334473,0.7655986509274874,0.8221948590782286,0.8303234946112849,4.463344097137451,0.739460370994941,0.7931801313241329,0.8128919775578032,4.738136291503906,0.7200674536256324,0.7736265423760625,0.7953327024257504,8.538944244384766,0.6989881956155143,0.7413528831306218,0.7496887427113064,11.276002883911133
claims__definitional_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,False,0.9402061855670103,0.0018505720986716444,0.9815472183842893,0.0018870543959024167,0.9825788485080142,0.0022524569119795833,10.053403091430663,0.518480181437086,0.9415807560137457,0.9815277334939361,0.9820967774532329,9.976929664611816,0.9372852233676976,0.9782920607928579,0.9784743162521918,10.383953094482422,0.9407216494845361,0.9826082592317048,0.9840201078897257,9.104945182800293,0.9424398625429553,0.981306314285377,0.9833564071661334,10.610762596130371,0.9390034364261168,0.9840017241175706,0.9849466337787876,10.190424919128418
claims__fictional_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,False,0.9429553264604811,0.0026949118799584307,0.9863310541916132,0.0006692784795938201,0.9871579229608564,0.0008255912857126609,11.916692352294922,0.3342180858906152,0.9390034364261168,0.9855546108335991,0.9861913386434498,11.530961036682129,0.9415807560137457,0.9856284172364521,0.9863381688592068,11.895997047424316,0.9450171821305842,0.9868417944993564,0.9877564158654535,12.139219284057617,0.9467353951890034,0.9863605767527545,0.9871443753132797,11.594598770141602,0.9424398625429553,0.9872698716359041,0.9883593161228927,12.422685623168945
claims__logical_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,False,0.88659793814433,0.014508475486312405,0.9498246359868212,0.008415805403660727,0.9530663757269968,0.010095827917130885,10.781867027282715,0.32512036252796955,0.9012027491408935,0.9583170959247057,0.9640237025858782,11.183295249938965,0.8676975945017182,0.9397592139913322,0.9400122064101168,10.246864318847656,0.8823024054982818,0.9485274146502758,0.954368955830156,11.044429779052734,0.9054982817869416,0.9606109989253788,0.9638832529892825,10.761449813842773,0.8762886597938144,0.9419084564424134,0.9430437608195505,10.673295974731445
got__best,claims__evidential_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,False,0.8259450171821305,0.01986450483182509,0.8840548647276248,0.020294491530068622,0.8843835563574816,0.017469256479136597,13.714879417419434,0.8735773582384205,0.8350515463917526,0.9027556358569219,0.8984679825531963,14.23502254486084,0.8032646048109966,0.8566886314521557,0.85824583925262,12.384641647338867,0.8599656357388317,0.9103370295579882,0.9082778389245012,13.774940490722656,0.813573883161512,0.8828220025743673,0.8797440780615026,13.226552963256836,0.8178694158075601,0.8676710241966912,0.8771820429955879,14.953239440917969
sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,claims__evidential_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,False,0.6867697594501718,0.031333724536233294,0.7224501363942324,0.038113694598131735,0.7494935872362001,0.03682328163746969,7.702323722839355,2.547256143260844,0.7027491408934707,0.7428260176426824,0.769810184078243,8.126179695129395,0.7079037800687286,0.7540091638029782,0.7712686603666294,5.126096725463867,0.7242268041237113,0.7624467117771401,0.794225175462217,5.165766716003418,0.6529209621993127,0.6801378113154072,0.7139177212893784,8.022087097167969,0.6460481099656358,0.6728309774329544,0.6982461949845329,12.071488380432129
claims__definitional_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,False,0.8505,0.008326663997864527,0.9254300000000001,0.007206795147379753,0.9246512517810327,0.008348310196384476,6.882281017303467,0.5818525019088484,0.8591666666666666,0.934563888888889,0.9353347814320783,7.372777462005615,0.8525,0.9262138888888889,0.9283345954149343,7.432714939117432,0.8425,0.9146583333333334,0.9117073003469035,5.854000091552734,0.8391666666666666,0.9204138888888889,0.9188305659868572,7.090147495269775,0.8591666666666666,0.9312999999999999,0.9290490157243907,6.661765098571777
claims__evidential_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,False,0.8796666666666667,0.006227180564089827,0.9439150000000002,0.005743882843813611,0.9469158566554592,0.00450400640623515,6.930441761016846,0.09336445023681139,0.8775,0.9446222222222223,0.9448630972903941,6.829399585723877,0.8741666666666666,0.9415055555555555,0.9455950973935447,6.882455348968506,0.8916666666666667,0.9539888888888888,0.9552021377951289,6.9038190841674805,0.8791666666666667,0.9364027777777778,0.9417445104251643,6.931847095489502,0.8758333333333334,0.9430555555555555,0.9471744403730641,7.104687690734863
claims__logical_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b,18,lr,1.0,True,False,False,0.7211666666666666,0.027651602324478636,0.7829622222222221,0.02731892487219876,0.785692524375029,0.028668450864630924,7.440694427490234,0.8621237596232946,0.7458333333333333,0.8101472222222222,0.8103996394371613,6.592626094818115,0.6758333333333333,0.74735,0.7451323330815349,7.943399429321289,0.7333333333333333,0.7864027777777778,0.798673671966513,7.793644905090332,0.7475,0.8146111111111111,0.8161215528878255,8.581398963928223,0.7033333333333334,0.7563,0.7581354245021099,6.292402744293213
