train_dataset,test_dataset,train_feature_type,test_feature_type,model_name,layer_idx,probe_type,regularization,use_scaler,balance_groups,is_cv_result,avg_max_acc,std_max_acc,avg_auroc,std_auroc,avg_auprc,std_auprc,avg_avg_abs_score,std_avg_abs_score,fold_1_max_acc,fold_1_auroc,fold_1_auprc,fold_1_avg_abs_score,fold_2_max_acc,fold_2_auroc,fold_2_auprc,fold_2_avg_abs_score,fold_3_max_acc,fold_3_auroc,fold_3_auprc,fold_3_avg_abs_score,fold_4_max_acc,fold_4_auroc,fold_4_auprc,fold_4_avg_abs_score,fold_5_max_acc,fold_5_auroc,fold_5_auprc,fold_5_avg_abs_score
claims__definitional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,1e-05,True,False,True,0.9426727653086552,0.013979040690352213,0.9783426993728007,0.01027793562876802,0.9817412680937794,0.008308173270550402,0.913170871443356,0.02623089621780756,0.9327731092436975,0.9622614740724976,0.9694433927686031,0.8994108023091946,0.919831223628692,0.9708285550458715,0.9748322997241947,0.8810283993054582,0.9535864978902954,0.9825396825396825,0.9842932902911935,0.9033547283587665,0.9535864978902954,0.9861250898634076,0.9893784697539895,0.957899994384326,0.9535864978902954,0.9899586953425438,0.9907588879309166,0.9241604328590344
claims__evidential_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b,18,lr,1e-05,True,False,True,0.951894331804055,0.011939978656293121,0.9853800018958797,0.00532377445028111,0.9868523194081916,0.0045632959793906695,0.9810476463288562,0.01910337105615563,0.9613733905579399,0.9884320660182729,0.9896546208883057,0.9540490188950254,0.9356223175965666,0.9787061597406425,0.9819254826393022,1.0138818386956172,0.9399141630901288,0.9811348563006632,0.9834955936904324,0.9796500976452709,0.9656652360515021,0.9937232314281494,0.9943732228215415,0.9805436776235329,0.9568965517241379,0.984903695991671,0.9848126770013759,0.9771135987848354
claims__fictional_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b,18,lr,1e-05,True,False,True,0.8858333333333333,0.023363076281460317,0.9480192714419282,0.012653949887269835,0.9519133198240454,0.008476057251213606,0.5063644996288831,0.013705985869548323,0.8958333333333334,0.9629913043478262,0.9624724001653594,0.5149549931421212,0.9,0.9524008060593425,0.9566589054654615,0.488908307821457,0.875,0.9436649069185885,0.9435232497489983,0.492252364506534,0.8458333333333333,0.9259285067242701,0.9403657846132553,0.5248395547587746,0.9125,0.9551108331596135,0.9565462591271526,0.5108672779155283
claims__logical_gemini_600_full,claims__logical_gemini_600_full,last,last,olmo3-7b,18,lr,1e-05,True,False,True,0.8400000000000001,0.01747804455847114,0.8846650125603066,0.024047885656240112,0.9118745446932225,0.013464199864620044,0.46804539139111634,0.020235409428885937,0.8478260869565217,0.8839619047619047,0.8967544439518941,0.45058851315925236,0.8130434782608695,0.8568181818181818,0.9002931116444144,0.4545752089423473,0.8565217391304348,0.9063517298811418,0.9254921534396102,0.5064998067537787,0.8260869565217391,0.859621212121212,0.9067408372806709,0.4694825777201702,0.8565217391304348,0.9165720342190931,0.9300921771495227,0.459080850380033
got__best,got__best,last,last,olmo3-7b,18,lr,1e-05,True,False,True,0.96360705253195,0.00487321213335031,0.9902830143223774,0.0032009836862499,0.9867233672864207,0.007480726862061465,2.031903854904543,0.022793015595761086,0.9705248023005032,0.9935334491027867,0.9928947952725683,2.068865596795643,0.9604601006470166,0.9914842150964461,0.9909163910571708,2.0167645017157794,0.9683453237410072,0.993391404476697,0.9942431251509564,2.0052887790476634,0.960431654676259,0.985801506804221,0.9758230534775837,2.0461827536194215,0.958273381294964,0.9872044961317363,0.9797394714738251,2.022417643344209
sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,last,last,olmo3-7b,18,lr,1e-05,True,False,True,0.8106430255759115,0.007874326007548322,0.8837040738496208,0.012472119575539344,0.8807226684686663,0.01736838916993338,0.2591764525174603,0.011013072853956746,0.8053691275167785,0.8855456961398136,0.8866414593396695,0.25657102064979687,0.8187919463087249,0.8946894284041261,0.8981643628041867,0.2602275912620849,0.8209459459459459,0.8993334550766984,0.8964176596166928,0.27248640919498407,0.8074324324324325,0.870982468955442,0.8522489238822202,0.266570639068163,0.8006756756756757,0.8679693206720234,0.8701409367005624,0.24002660241227264
claims__evidential_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,1e-05,True,False,False,0.9183811129848231,0.0011185918348584627,0.9712611154873183,0.00031211831464024616,0.9761609174346685,0.000249810175747883,0.8575693249702454,0.0035486774122628385,0.918212478920742,0.9710535221200687,0.9760571183904221,0.857285737991333,0.9198988195615514,0.9717445520959821,0.9765144266781525,0.8610521554946899,0.918212478920742,0.9714345839174859,0.9762694999950808,0.8620413541793823,0.9190556492411467,0.9712355217845068,0.9762057192290785,0.8529176712036133,0.9165261382799326,0.9708373975185484,0.9757578228806085,0.8545497059822083
claims__fictional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,1e-05,True,False,False,0.9166947723440135,0.0019520804220556837,0.9721961387633693,0.0006656413800025453,0.976357459246319,0.0005749664567943867,0.6598378181457519,0.009497921347448344,0.9190556492411467,0.9731550494953775,0.9770851021227486,0.6416325569152832,0.9173693086003373,0.9721824887885364,0.9763368270944698,0.6619426608085632,0.9148397976391232,0.9719265517604202,0.9761654229117724,0.662176251411438,0.9139966273187183,0.9711530531865582,0.9754094776538217,0.6694598197937012,0.918212478920742,0.9725635505859536,0.9767904664487822,0.6639778017997742
claims__logical_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,1e-05,True,False,False,0.920910623946037,0.002687584730271375,0.9685299830228438,0.001114375874347727,0.9740337734513689,0.0008591634267691948,0.5077045798301697,0.008228014047828998,0.918212478920742,0.9673452789571418,0.9730982396215804,0.5011330246925354,0.924114671163575,0.9699899615810084,0.9751318166552636,0.5203863382339478,0.9173693086003373,0.9671177793765942,0.9729481313565811,0.5007458925247192,0.9232715008431703,0.9692278379861736,0.9745462356721455,0.5146750211715698,0.9215851602023609,0.9689690572133007,0.9744444439512739,0.5015826225280762
got__best,claims__definitional_gemini_600_full,last,last,olmo3-7b,18,lr,1e-05,True,False,False,0.9350758853288363,0.0005332677335865639,0.9772312732298399,0.00012935256847947788,0.9806628056741845,9.451232672861497e-05,1.4537243366241455,0.012725052000793081,0.9342327150084317,0.9772585731795056,0.98069202275727,1.4479224681854248,0.9350758853288365,0.9771334484102046,0.980569675248948,1.4417054653167725,0.9350758853288365,0.9774491040782144,0.9808128317240005,1.4410035610198975,0.9359190556492412,0.9772443544557214,0.9806865343135597,1.4702814817428589,0.9350758853288365,0.977070886025554,0.9805529643271446,1.467708706855774
