train_dataset,test_dataset,train_feature_type,test_feature_type,model_name,layer_idx,probe_type,regularization,use_scaler,balance_groups,is_cv_result,avg_max_acc,std_max_acc,avg_auroc,std_auroc,avg_auprc,std_auprc,avg_avg_abs_score,std_avg_abs_score,fold_1_max_acc,fold_1_auroc,fold_1_auprc,fold_1_avg_abs_score,fold_2_max_acc,fold_2_auroc,fold_2_auprc,fold_2_avg_abs_score,fold_3_max_acc,fold_3_auroc,fold_3_auprc,fold_3_avg_abs_score,fold_4_max_acc,fold_4_auroc,fold_4_auprc,fold_4_avg_abs_score,fold_5_max_acc,fold_5_auroc,fold_5_auprc,fold_5_avg_abs_score
claims__definitional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,True,0.9797752012197284,0.007206617119613339,0.9971146957481165,0.00151232845874103,0.9969984720675393,0.001872377670747127,6.535413090505656,0.3561902405496107,0.9663865546218487,0.9944669078527346,0.9938642993350307,5.975681623148389,0.9873417721518988,0.9978497706422018,0.9983455720789608,6.749351954956106,0.9789029535864979,0.9968975468975468,0.996149903817917,6.491444588742088,0.9831223628691983,0.9990654205607477,0.9992376784150826,7.044457768368739,0.9831223628691983,0.9972938327873523,0.9973949066907055,6.416129517312959
claims__evidential_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,True,0.9553241083321,0.005171164474034698,0.9908865169210482,0.0027686301786795137,0.9915490893501551,0.002375003468851829,6.221415466915433,0.18460178020124152,0.9527896995708155,0.990568818155025,0.9912839648452125,6.077575740048488,0.9613733905579399,0.9958001768346596,0.9958874417408209,6.247516209294824,0.9484978540772532,0.9874723655121591,0.9886430855540186,6.563455613377203,0.9613733905579399,0.9893664155959239,0.9912700678631264,6.167878037465939,0.9525862068965517,0.9912248085074739,0.990660886747597,6.050651734390707
claims__fictional_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,True,0.9216666666666666,0.013794121131039035,0.9715870786866418,0.002962741981359448,0.9732639707694201,0.0015663082829823509,4.513477248137574,0.19752029739051963,0.925,0.9765565217391305,0.9743524177629621,4.5545906327165575,0.8958333333333334,0.9678966020429435,0.9712463675717872,4.712738919429459,0.9333333333333333,0.9728396776882468,0.9714606705172733,4.206865899688571,0.9208333333333333,0.9696885234478433,0.974515923619971,4.377078915664753,0.9333333333333333,0.9709540685150442,0.9747444743751067,4.7161118731885265
claims__logical_gemini_600_full,claims__logical_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,True,0.8695652173913043,0.019248646627111874,0.9323869092010268,0.012833059742497151,0.9400036424028304,0.016006991472734464,3.764362846385866,0.2356532077713547,0.8695652173913043,0.9271619047619047,0.9270635651414666,3.6311351248673467,0.8434782608695652,0.9102272727272727,0.9167518257456524,3.505669023022799,0.9,0.943674767204179,0.9616018518343354,4.184219421339668,0.8565217391304348,0.935530303030303,0.9474675752671831,3.6600617131533104,0.8782608695652174,0.9453402982814747,0.9471333940255146,3.840728949546207
got__best,got__best,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,True,0.992088399733125,0.002364649159287577,0.9992694074341311,0.0005552362835698065,0.9992787894899238,0.0005323835546102271,7.557815398180944,0.15868024224743663,0.9942487419122933,0.999557595303068,0.9995326433501872,7.746088884166662,0.99137311286844,0.9992226426016664,0.9992100948037846,7.4923543112894375,0.9935251798561151,0.9995340225657339,0.9995547411759804,7.392094004495807,0.9935251798561151,0.9998095273587034,0.9998116276536287,7.409298036418875,0.9877697841726619,0.998223249341484,0.9982848404660374,7.749241754533941
sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,True,0.938658625068021,0.008764503456778231,0.977289557646983,0.004104146478423146,0.9808110704744253,0.003679528124600238,3.6383345895336894,0.1864605441749636,0.9395973154362416,0.9708121255799288,0.974819698259239,3.612999090833853,0.9530201342281879,0.9828836538894644,0.9853415609967527,3.5098550025817006,0.9391891891891891,0.9773557341124908,0.9835528904917125,3.97443272762984,0.9256756756756757,0.9753926223520818,0.9789592441802878,3.6636260201503994,0.9358108108108109,0.9800036523009495,0.9813819584441353,3.430760106472655
claims__evidential_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,False,0.9497470489038786,0.00259060564852229,0.9857010826136289,0.0035563614976993076,0.9882336335983624,0.002210226431926187,6.428768062591553,0.15950554493717733,0.945193929173693,0.9788709764566372,0.9839774470217459,6.633126258850098,0.9510961214165261,0.9869841802479176,0.9891803313675677,6.381539344787598,0.9519392917369308,0.9891368950288498,0.990306687026807,6.599792003631592,0.9519392917369308,0.9860827131599976,0.9884322045194972,6.2567620277404785,0.948566610455312,0.9874306481747424,0.9892714980561945,6.272620677947998
claims__fictional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,False,0.9554806070826307,0.0022244360806531025,0.9828078566980143,0.0035691833985776436,0.9867786150611806,0.001987149537105865,6.385726070404052,0.07773693620591997,0.9578414839797639,0.9866742120694215,0.9892225104562002,6.3435587882995605,0.9553119730185498,0.9817260961925102,0.9859515654899268,6.401604175567627,0.954468802698145,0.9837280925013295,0.986938314291577,6.328913688659668,0.9578414839797639,0.9854201206316526,0.988286550028252,6.323584079742432,0.9519392917369308,0.9764907620951575,0.9834941350399466,6.530969619750977
claims__logical_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,False,0.932883642495784,0.006456725031729054,0.9764617558986377,0.005773621973353285,0.9808281123647117,0.004203493965565048,4.770214939117432,0.1664672038701609,0.9224283305227656,0.9670665919709711,0.9737126950437922,4.598091125488281,0.9409780775716695,0.9824910635321016,0.9852534465976762,5.012803554534912,0.9291736930860034,0.9760841065949284,0.9799975322576996,4.765632152557373,0.9350758853288365,0.9741560476497871,0.9802170875056431,4.58253288269043,0.9367622259696459,0.9825109697453996,0.9849598004187468,4.892014980316162
got__best,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,False,0.9172006745362564,0.00410996883877031,0.9724401320635065,0.001636428812470707,0.975341219324133,0.0016942749416044864,6.841617393493652,0.7259752535465519,0.9123102866779089,0.9699842740914947,0.9725868325874937,6.708678722381592,0.9232715008431703,0.9732375180933259,0.9765338341874495,6.880368709564209,0.9131534569983136,0.9723246760263786,0.9745728004864299,7.689960479736328,0.9198988195615514,0.9749295462236492,0.9775158936752064,7.3623046875,0.9173693086003373,0.9717246458826841,0.975496735684085,5.566774368286133
sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,False,0.7485666104553118,0.03373271449208023,0.8112583854923517,0.033935508770182636,0.8468130991637477,0.034261404126013584,2.7130242824554442,0.7054521697625831,0.7976391231028668,0.8561719214330199,0.8903638604923099,2.3465471267700195,0.7596964586846543,0.8326825897414751,0.8671965219239604,2.242136001586914,0.7546374367622259,0.8074500425139841,0.8490205322846616,4.086819171905518,0.693929173693086,0.7543772341169747,0.7876191513603752,2.219996452331543,0.7369308600337268,0.8056101396563049,0.8398654297574313,2.6696226596832275
claims__definitional_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,False,0.9388316151202749,0.001262623578754211,0.9848206799636282,0.00041811951927743203,0.98571524545057,0.0005644173410962077,5.553951740264893,0.0953621779015137,0.9398625429553265,0.9849287325374052,0.9859776332068457,5.455118179321289,0.9398625429553265,0.9841788594844181,0.9846764537887478,5.689122200012207,0.9372852233676976,0.984515416681428,0.9855830198993896,5.450808525085449,0.9372852233676976,0.9852918600394421,0.986084085381082,5.635107040405273,0.9398625429553265,0.9851885310754478,0.9862550349767844,5.539602756500244
claims__fictional_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,False,0.9439862542955326,0.0006428964582085787,0.985308983124904,0.000605549110997301,0.9870599709085026,0.0005557940145441457,6.296166896820068,0.10104350302674137,0.9432989690721649,0.9851235814409371,0.9868509509859373,6.3578314781188965,0.9441580756013745,0.9860889691902552,0.987763046397978,6.253088474273682,0.9432989690721649,0.9850527272941982,0.9869989142384136,6.2031755447387695,0.9441580756013745,0.9844091354613195,0.9861692836072651,6.203032970428467,0.9450171821305842,0.9858705022378103,0.9875176593129189,6.463706016540527
claims__logical_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,False,0.9292096219931272,0.003977950825701094,0.9763087351353905,0.002213071046654693,0.9781626957916705,0.0018304153804734136,4.8418351173400875,0.13087186119595814,0.9226804123711341,0.9726532516148841,0.9756865680304011,4.722550392150879,0.9321305841924399,0.9784869096963901,0.9794945496267462,5.001616954803467,0.9269759450171822,0.9750800061406928,0.9781421211683504,4.821198463439941,0.9338487972508591,0.978439673598564,0.9807660356523014,4.681480407714844,0.9304123711340206,0.9768838346264216,0.9767242044805535,4.982329368591309
got__best,claims__evidential_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,False,0.9037800687285223,0.00904309097384242,0.9609274807808127,0.0039015091178053606,0.9597804984447686,0.005031620804696408,6.7040260314941404,0.19436510188083425,0.8908934707903781,0.9563066095109882,0.9543686320683493,6.715636730194092,0.9166666666666666,0.9675930846352783,0.9683840431737891,7.038195610046387,0.8986254295532646,0.958491279035439,0.9560533200197953,6.740703105926514,0.9020618556701031,0.959654467944403,0.9578986530707144,6.548872470855713,0.9106529209621993,0.9625919627779549,0.962197843891195,6.476722240447998
sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,claims__evidential_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,False,0.8149484536082474,0.02716516037659335,0.855328822285991,0.026759404105234898,0.8903873509890723,0.021909682464506378,2.6305620193481447,0.6800510148594138,0.8402061855670103,0.8867750735111772,0.9138491561500945,2.3262314796447754,0.8410652920962199,0.87869179627071,0.909706805197755,2.1172597408294678,0.8144329896907216,0.8481093751845159,0.8882617102535864,3.9642467498779297,0.7663230240549829,0.8107840011336663,0.8520940844784978,2.223571538925171,0.8127147766323024,0.8522838653298851,0.8880249988654281,2.521500587463379
claims__definitional_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,False,0.8560000000000001,0.0023804761428476017,0.9366522222222222,0.0031708166763567405,0.9365338553402699,0.0030219077382510643,2.926795768737793,0.024975116308805865,0.86,0.9428277777777778,0.9422992822035321,2.926746368408203,0.8558333333333333,0.9364166666666666,0.934835751395555,2.9593753814697266,0.8558333333333333,0.9342444444444443,0.9363159377104147,2.9012763500213623,0.8558333333333333,0.9350305555555556,0.9335894764389382,2.897007942199707,0.8525,0.9347416666666666,0.9356288289529101,2.949572801589966
claims__evidential_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,False,0.8903333333333332,0.0021473497877875013,0.954575,0.0019711061004571337,0.9566710835898575,0.0016215055930300462,3.655565595626831,0.11804061110755655,0.8866666666666667,0.9578722222222222,0.9596257500967138,3.6624755859375,0.8908333333333334,0.9528166666666666,0.9549567346660407,3.664614200592041,0.89,0.954338888888889,0.9562744795409432,3.8005266189575195,0.8933333333333333,0.9524138888888889,0.9555549161911752,3.441732168197632,0.8908333333333334,0.9554333333333335,0.9569435374544142,3.708479404449463
claims__logical_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.01,True,False,False,0.7963333333333333,0.012830086169278524,0.8753533333333333,0.013417229617819125,0.8853703731947358,0.01256319226393307,2.6000411033630373,0.3014474500916244,0.7866666666666666,0.8618694444444445,0.8737181638124255,2.497765302658081,0.81,0.8913972222222222,0.8988167370098522,2.9311931133270264,0.7975,0.8737916666666666,0.8827232987257102,2.302473545074463,0.81,0.889986111111111,0.9010483835672587,2.2855851650238037,0.7775,0.8597222222222223,0.8705452828584321,2.9831883907318115
