train_dataset,test_dataset,train_feature_type,test_feature_type,model_name,layer_idx,probe_type,regularization,use_scaler,balance_groups,is_cv_result,avg_max_acc,std_max_acc,avg_auroc,std_auroc,avg_auprc,std_auprc,avg_avg_abs_score,std_avg_abs_score,fold_1_max_acc,fold_1_auroc,fold_1_auprc,fold_1_avg_abs_score,fold_2_max_acc,fold_2_auroc,fold_2_auprc,fold_2_avg_abs_score,fold_3_max_acc,fold_3_auroc,fold_3_auprc,fold_3_avg_abs_score,fold_4_max_acc,fold_4_auroc,fold_4_auprc,fold_4_avg_abs_score,fold_5_max_acc,fold_5_auroc,fold_5_auprc,fold_5_avg_abs_score
claims__definitional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.005,True,False,True,0.9780874375066482,0.0072132572230502795,0.9970152609646252,0.0016944064258833493,0.9969073311511952,0.0020420609207803266,5.631968324289021,0.2984775695500642,0.9663865546218487,0.9938994112222459,0.9933235329919909,5.155210765056548,0.9873417721518988,0.9979214449541285,0.9983961060352315,5.793205677872446,0.9746835443037974,0.9968975468975468,0.9961767234852384,5.60984896511208,0.9831223628691983,0.998921639108555,0.9991151690901072,6.060267912494621,0.9789029535864979,0.9974362626406494,0.9975251241534084,5.541308300909413
claims__evidential_gemini_600_full,claims__evidential_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.005,True,False,True,0.9561787775640076,0.007911059320280748,0.9913436251419722,0.002695962793250676,0.9919293511967548,0.0024018743027046075,5.392324387587939,0.15248727499964432,0.9527896995708155,0.9913793103448276,0.9919046848238922,5.26900466967768,0.9656652360515021,0.9960212201591512,0.9960916995767215,5.41952633989411,0.9484978540772532,0.9876197494473102,0.9888341323183136,5.670336155904102,0.9656652360515021,0.9906217693102938,0.9922434350731508,5.358302287267225,0.9482758620689655,0.9910760764482784,0.9905728041916969,5.244452485196578
claims__fictional_gemini_600_full,claims__fictional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.005,True,False,True,0.9216666666666666,0.014043582955293923,0.9722962781146027,0.003028776260579803,0.9736635914208194,0.0014935203371493017,3.8599678254983916,0.16769640445932357,0.925,0.9773913043478262,0.9749311303892554,3.8913667708379256,0.8958333333333334,0.9688694322840664,0.9718926331302089,4.0326915804931405,0.9375,0.9738816337871631,0.9717779101836538,3.594609306214197,0.9208333333333333,0.9702459758901819,0.9748444995912708,3.7536533163920067,0.9291666666666667,0.971093044263776,0.9748717838097085,4.027518153554687
claims__logical_gemini_600_full,claims__logical_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.005,True,False,True,0.8765217391304347,0.018568831742663154,0.9344471968836675,0.012693787333602685,0.9417249977382232,0.01599360019653543,3.1665220369364993,0.19491428991385412,0.8782608695652174,0.9273904761904762,0.9274210798198077,3.0600495041448372,0.8478260869565217,0.9137121212121212,0.9187413934472082,2.949797719722098,0.9,0.943674767204179,0.9615122238913761,3.509597227739418,0.8652173913043478,0.937878787878788,0.9496196919845424,3.0736554543298245,0.8913043478260869,0.9495798319327731,0.9513305995481814,3.239510278746318
got__best,got__best,last,last,olmo3-7b-purebase,18,lr,0.005,True,False,True,0.9918007333888461,0.0026765930952896205,0.9993306948823971,0.0004670479706850968,0.9993046992883082,0.0005009420149219029,7.117559174259329,0.12181202108920267,0.9942487419122933,0.9994914413296949,0.9994519496738292,7.307510105534423,0.9906542056074766,0.9993260145961256,0.999306440452572,7.0334023174059235,0.9935251798561151,0.9996127209768544,0.9996293321561215,7.002533456183568,0.9935251798561151,0.9997784720367529,0.9997804466421224,7.02795827219846,0.9870503597122302,0.9984448254725578,0.9983553275168956,7.21639171997427
sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,sycophancy_v2__data/sycophancy_v2/olmo3-7b/pairs/sycophancy_pairs_26-03-03_02:24:05.csv,last,last,olmo3-7b-purebase,18,lr,0.005,True,False,True,0.9285597678215127,0.006982527653984098,0.9740875034288132,0.0039592592870105634,0.9776760324955885,0.00355046411809977,3.0652007653307036,0.16617053707134527,0.9261744966442953,0.9689203189045539,0.9729202216188634,3.0422461321565635,0.9395973154362416,0.9803612449889645,0.9824193533962737,2.95199678866438,0.9324324324324325,0.974844777209642,0.9807663258543571,3.367754206163928,0.918918918918919,0.970918553688824,0.974790691586714,3.080336907140793,0.9256756756756757,0.9753926223520818,0.9774835700217346,2.883669792527853
claims__evidential_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.005,True,False,False,0.9502529510961214,0.0026663386679328825,0.9857585262577173,0.003276209702167414,0.9882810176665993,0.002051147605593575,5.555794906616211,0.12021493525524522,0.945193929173693,0.9795165065164412,0.984360185478741,5.711077690124512,0.9519392917369308,0.9871775548913831,0.9893061695301053,5.530386924743652,0.9527824620573356,0.9890003952805213,0.9902421734020015,5.679581165313721,0.9510961214165261,0.9858665885584773,0.9883424652318632,5.427408695220947,0.9502529510961214,0.9872315860417632,0.9891540946902853,5.430520057678223
claims__fictional_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.005,True,False,False,0.9553119730185499,0.0021330709343462557,0.9826281320293816,0.003182197600413042,0.9866498064515682,0.001792385850557833,5.424942874908448,0.06894881581355633,0.9578414839797639,0.9862959940167612,0.9889964039599276,5.378068923950195,0.954468802698145,0.9815469402728287,0.9858454019031939,5.429178237915039,0.9527824620573356,0.9831536560604467,0.9866161675690337,5.379438877105713,0.9578414839797639,0.9850020901523964,0.9879896460960769,5.380698204040527,0.9536256323777403,0.977141979644475,0.9838014127296083,5.557330131530762
claims__logical_gemini_600_full,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.005,True,False,False,0.9328836424957843,0.006456725031729029,0.9762268625817221,0.005290635423527321,0.9807829314842781,0.0038269566789262714,3.922420597076416,0.14015690411548148,0.9215851602023609,0.9680960275729491,0.9745678852304568,3.770021677017212,0.93929173693086,0.9815241903147741,0.9845774213671332,4.130870819091797,0.9300168634064081,0.9751257646118714,0.979498560033046,3.877209186553955,0.9359190556492412,0.9739029543664278,0.980217733446813,3.7956745624542236,0.9376053962900506,0.9824853760425879,0.9850530573439419,4.038326740264893
got__best,claims__definitional_gemini_600_full,last,last,olmo3-7b-purebase,18,lr,0.005,True,False,False,0.9239460370994941,0.003823198667370882,0.977024817360493,0.0017015267235392468,0.9794008424781404,0.001367287541694119,5.595878982543946,0.4028211506818194,0.9198988195615514,0.9759931067627095,0.9780317178370764,5.476764678955078,0.9266441821247892,0.9777221035748717,0.9802384977676225,5.664315223693848,0.9224283305227656,0.978137290309371,0.979977978907893,6.095918655395508,0.9300168634064081,0.9790216949287499,0.9811720376793533,5.841012001037598,0.9207419898819561,0.9742498912267632,0.9775839801987569,4.901384353637695
